timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
860506706,860506227,0,nan,nan,1.5232869,1.4629431,-0.3470044,1.0054654,2.6427975,0.24295658,0.013060431,0.05243439,-0.0021609343,-0.002236179,-2.4855537,-0.16062875,-0.00048217044,-1.4329324,0.57060903,0.02668381,1.5282216,0.16137503,nan,0.1,0.010656445,0.0075730043,0.035030566,0.02486471,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860524841,860524228,0,nan,nan,1.5235125,1.463856,-0.34698454,1.0054654,2.6427975,0.24295658,0.018054027,0.048638135,-0.00011126147,-0.00018661078,-2.4855537,-0.16062875,-0.00048217044,1.6350017,-0.92282015,-0.93204516,1.5282203,0.16137503,nan,0.1,0.011076848,0.0078728935,0.035817027,0.025417803,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860542829,860542281,0,nan,nan,1.5238194,1.4647963,-0.34700668,1.0054654,2.6427975,0.24295658,0.013518147,0.05640569,0.0022578817,0.0021824718,-2.4855537,-0.16062875,-0.00048217044,-0.02934278,-0.40423262,0.62724787,1.5284323,0.16137503,nan,0.1,0.011476386,0.008157529,0.036512967,0.025915245,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860560776,860560232,0,nan,nan,1.5241482,1.4657506,-0.34700966,1.0054654,2.6427975,0.24295658,0.021901954,0.05891923,-0.00097602146,-0.001051537,-2.4855537,-0.16062875,-0.00048217044,0.8782593,0.8306029,0.27951908,1.528283,0.16137503,nan,0.1,0.011885074,0.008448501,0.03719822,0.026395867,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860587820,860587282,0,nan,nan,1.5246321,1.4672899,-0.34701827,1.0054654,2.6427975,0.24295658,0.018568814,0.06317622,-0.0023962806,-0.002472256,-2.4855537,-0.16062875,-0.00048217044,-0.5419835,1.0521389,-0.23599687,1.528294,0.16137503,nan,0.1,0.012511652,0.00889426,0.038180094,0.02708401,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860605563,860605235,0,nan,nan,1.5249469,1.4684728,-0.34702063,1.0054654,2.6427975,0.24295658,0.017392896,0.060799573,-0.00066192,-0.00073835783,-2.4855537,-0.16062875,-0.00048217044,0.7371571,-0.3719975,-0.5621728,1.5283698,0.16137503,nan,0.1,0.012990468,0.009235047,0.03891281,0.027590368,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860623704,860623237,0,nan,nan,1.5252674,1.4695859,-0.34704518,1.0054654,2.6427975,0.24295658,0.013161619,0.0691597,0.0012520688,0.0011750592,-2.4855537,-0.16062875,-0.00048217044,-0.53885746,0.6504586,0.2694413,1.5283169,0.16137503,nan,0.1,0.013419266,0.009539588,0.039530057,0.028005742,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860641717,860641239,0,nan,nan,1.5256032,1.4707139,-0.34705922,1.0054654,2.6427975,0.24295658,0.018714076,0.07046705,-0.0024770496,-0.0025547843,-2.4855537,-0.16062875,-0.00048217044,-0.81690115,0.5764134,-0.4008372,1.5281876,0.16137503,nan,0.1,0.01385023,0.009845159,0.0400977,0.02840208,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860659774,860659240,0,nan,nan,1.5259126,1.4719014,-0.34705356,1.0054654,2.6427975,0.24295658,0.016949598,0.06860118,0.00032815273,0.0002493448,-2.4855537,-0.16062875,-0.00048217044,0.17603195,-0.42874953,-0.3088602,1.5282507,0.16137503,nan,0.1,0.014281099,0.010150446,0.040652823,0.02877891,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860686873,860686243,0,nan,nan,1.526413,1.4737433,-0.34705696,1.0054654,2.6427975,0.24295658,0.022130843,0.07213417,0.000104579776,2.373639e-05,-2.4855537,-0.16062875,-0.00048217044,1.1001295,-0.5102506,-0.4559405,1.5283161,0.16137503,nan,0.1,0.014923904,0.010605359,0.04142051,0.029306665,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
